export_id,gender,age,edu,smoke,drink
61841,female,18.0,bachelor's degree,never smokes,never drinks
61842,female,20.0,bachelor's degree,never smokes,never drinks
61843,female,21.0,bachelor's degree,never smokes,never drinks
61844,female,20.0,bachelor's degree,never smokes,never drinks
61845,female,18.0,bachelor's degree,never smokes,never drinks
61846,female,18.0,bachelor's degree,never smokes,never drinks
61847,female,18.0,bachelor's degree,never smokes,never drinks
61848,male,19.0,bachelor's degree,never smokes,drinks occasionally (less than once a week)
61849,female,18.0,bachelor's degree,never smokes,drinks occasionally (less than once a week)
61850,female,19.0,bachelor's degree,never smokes,never drinks
61851,male,19.0,bachelor's degree,never smokes,drinks occasionally (less than once a week)
61852,female,19.0,bachelor's degree,never smokes,never drinks
61853,female,19.0,bachelor's degree,never smokes,never drinks
61854,female,18.0,bachelor's degree,never smokes,never drinks
61855,male,22.0,bachelor's degree,never smokes,never drinks
61856,female,18.0,bachelor's degree,never smokes,never drinks
61857,female,19.0,bachelor's degree,never smokes,drinks occasionally (less than once a week)
61858,male,18.0,bachelor's degree,never smokes,drinks occasionally (less than once a week)
61859,female,21.0,bachelor's degree,never smokes,drinks occasionally (less than once a week)
61860,female,22.0,bachelor's degree,never smokes,drinks occasionally (less than once a week)
61861,female,18.0,bachelor's degree,never smokes,never drinks
61862,female,24.0,bachelor's degree,never smokes,never drinks
61863,male,22.0,bachelor's degree,"former smoker (cumulative smoking >10 packs), but not in the past year",drinks occasionally (less than once a week)
61864,male,21.0,bachelor's degree,never smokes,never drinks
61865,female,19.0,bachelor's degree,never smokes,never drinks
61866,male,23.0,bachelor's degree,never smokes,never drinks
61867,female,19.0,bachelor's degree,never smokes,never drinks
61868,male,24.0,bachelor's degree,never smokes,drinks occasionally (less than once a week)
61869,female,21.0,bachelor's degree,never smokes,never drinks
61870,female,19.0,bachelor's degree,never smokes,never drinks
61871,female,19.0,bachelor's degree,never smokes,never drinks
61872,female,18.0,bachelor's degree,never smokes,never drinks
61873,female,18.0,bachelor's degree,never smokes,never drinks
61874,female,18.0,bachelor's degree,never smokes,never drinks
61875,female,19.0,bachelor's degree,never smokes,never drinks
61876,female,19.0,bachelor's degree,never smokes,never drinks
61877,female,18.0,bachelor's degree,never smokes,never drinks
61878,male,20.0,bachelor's degree,never smokes,drinks occasionally (less than once a week)
61879,male,18.0,bachelor's degree,never smokes,never drinks
61880,female,20.0,bachelor's degree,never smokes,never drinks
61881,male,23.0,bachelor's degree,never smokes,drinks occasionally (less than once a week)
61882,female,17.0,bachelor's degree,never smokes,drinks occasionally (less than once a week)
61883,male,19.0,bachelor's degree,never smokes,drinks occasionally (less than once a week)
61884,female,18.0,bachelor's degree,never smokes,never drinks
61885,female,18.0,bachelor's degree,never smokes,never drinks
61886,female,18.0,bachelor's degree,never smokes,drinks occasionally (less than once a week)
61887,male,21.0,bachelor's degree,never smokes,drinks occasionally (less than once a week)
61888,female,20.0,bachelor's degree,never smokes,never drinks
61889,female,18.0,bachelor's degree,never smokes,drinks occasionally (less than once a week)
61890,male,19.0,bachelor's degree,never smokes,never drinks
61891,male,21.0,bachelor's degree,never smokes,never drinks
61892,female,18.0,bachelor's degree,never smokes,current regular drinker (more than once a week)
61893,female,20.0,bachelor's degree,never smokes,drinks occasionally (less than once a week)
61894,female,18.0,bachelor's degree,never smokes,drinks occasionally (less than once a week)
61895,female,18.0,bachelor's degree,never smokes,never drinks
61896,male,21.0,bachelor's degree,never smokes,drinks occasionally (less than once a week)
61897,male,22.0,bachelor's degree,never smokes,drinks occasionally (less than once a week)
61898,female,19.0,bachelor's degree,never smokes,never drinks
61899,male,18.0,bachelor's degree,never smokes,drinks occasionally (less than once a week)
61900,female,21.0,bachelor's degree,never smokes,never drinks
61901,female,19.0,master's degree,never smokes,drinks occasionally (less than once a week)
61902,female,19.0,bachelor's degree,never smokes,never drinks
61903,female,19.0,bachelor's degree,never smokes,never drinks
61904,male,18.0,bachelor's degree,never smokes,never drinks
61905,female,18.0,bachelor's degree,never smokes,never drinks
61906,male,18.0,bachelor's degree,never smokes,never drinks
61907,female,18.0,bachelor's degree,never smokes,never drinks
61908,female,19.0,bachelor's degree,occasional smoker (cumulative smoking <10 packs),drinks occasionally (less than once a week)
61909,female,22.0,bachelor's degree,never smokes,never drinks
61910,male,17.0,bachelor's degree,never smokes,current regular drinker (more than once a week)
61911,male,19.0,bachelor's degree,never smokes,never drinks
61912,female,18.0,bachelor's degree,never smokes,never drinks
61913,male,19.0,bachelor's degree,never smokes,drinks occasionally (less than once a week)
61914,female,23.0,bachelor's degree,never smokes,drinks occasionally (less than once a week)
61915,female,19.0,bachelor's degree,never smokes,never drinks
61916,female,19.0,bachelor's degree,never smokes,never drinks
61917,female,18.0,bachelor's degree,never smokes,drinks occasionally (less than once a week)
61918,female,19.0,bachelor's degree,never smokes,never drinks
61919,female,20.0,bachelor's degree,never smokes,drinks occasionally (less than once a week)
61920,female,18.0,bachelor's degree,never smokes,never drinks
61921,female,19.0,bachelor's degree,never smokes,never drinks
61922,male,21.0,bachelor's degree,current smoker (cumulative smoking >10 packs),drinks occasionally (less than once a week)
61923,female,20.0,bachelor's degree,never smokes,never drinks
61924,female,19.0,bachelor's degree,never smokes,never drinks
61925,male,19.0,bachelor's degree,never smokes,drinks occasionally (less than once a week)
61926,male,20.0,bachelor's degree,never smokes,drinks occasionally (less than once a week)
61927,male,18.0,bachelor's degree,never smokes,never drinks
61928,female,19.0,bachelor's degree,never smokes,never drinks
61929,male,20.0,bachelor's degree,never smokes,drinks occasionally (less than once a week)
61930,female,21.0,bachelor's degree,never smokes,never drinks
61931,male,22.0,bachelor's degree,never smokes,never drinks
61932,female,18.0,bachelor's degree,never smokes,never drinks
61933,female,19.0,bachelor's degree,never smokes,never drinks
61934,female,21.0,bachelor's degree,never smokes,never drinks
61935,male,19.0,bachelor's degree,never smokes,drinks occasionally (less than once a week)
61936,female,20.0,bachelor's degree,never smokes,never drinks
61937,female,19.0,bachelor's degree,never smokes,never drinks
61938,female,19.0,bachelor's degree,never smokes,never drinks
61939,male,20.0,bachelor's degree,never smokes,never drinks
61940,female,22.0,bachelor's degree,never smokes,never drinks
61941,female,17.0,bachelor's degree,never smokes,never drinks
61942,male,20.0,bachelor's degree,never smokes,never drinks
61943,female,21.0,bachelor's degree,"former smoker (cumulative smoking >10 packs), but not in the past year",drinks occasionally (less than once a week)
61944,female,20.0,bachelor's degree,never smokes,drinks occasionally (less than once a week)
61945,male,23.0,bachelor's degree,never smokes,drinks occasionally (less than once a week)
61985,male,21.0,bachelor's degree,never smokes,never drinks
61946,female,20.0,bachelor's degree,never smokes,never drinks
61947,female,19.0,bachelor's degree,never smokes,never drinks
61948,male,18.0,bachelor's degree,never smokes,never drinks
61949,female,21.0,bachelor's degree,never smokes,"drank in the past (more than once a week), but not in the past year"
61950,female,23.0,bachelor's degree,never smokes,never drinks
61951,female,20.0,bachelor's degree,never smokes,never drinks
61952,female,23.0,bachelor's degree,never smokes,never drinks
61953,female,19.0,bachelor's degree,never smokes,never drinks
61954,male,20.0,bachelor's degree,never smokes,drinks occasionally (less than once a week)
61955,female,20.0,bachelor's degree,never smokes,never drinks
61956,male,18.0,bachelor's degree,never smokes,drinks occasionally (less than once a week)
61957,female,19.0,bachelor's degree,never smokes,never drinks
61958,female,18.0,bachelor's degree,never smokes,never drinks
61959,male,19.0,bachelor's degree,never smokes,never drinks
61960,male,20.0,bachelor's degree,never smokes,never drinks
61961,female,18.0,bachelor's degree,occasional smoker (cumulative smoking <10 packs),drinks occasionally (less than once a week)
61962,female,20.0,bachelor's degree,never smokes,never drinks
61963,male,22.0,bachelor's degree,never smokes,never drinks
61964,male,20.0,bachelor's degree,never smokes,drinks occasionally (less than once a week)
61965,female,20.0,bachelor's degree,never smokes,never drinks
61966,female,19.0,bachelor's degree,never smokes,never drinks
61967,male,20.0,bachelor's degree,occasional smoker (cumulative smoking <10 packs),drinks occasionally (less than once a week)
61968,male,18.0,bachelor's degree,never smokes,drinks occasionally (less than once a week)
61969,female,18.0,bachelor's degree,never smokes,never drinks
61970,female,20.0,bachelor's degree,never smokes,never drinks
61971,female,19.0,bachelor's degree,never smokes,never drinks
61972,male,19.0,bachelor's degree,current smoker (cumulative smoking >10 packs),never drinks
61973,male,20.0,bachelor's degree,never smokes,never drinks
61974,male,20.0,bachelor's degree,current smoker (cumulative smoking >10 packs),drinks occasionally (less than once a week)
61975,male,20.0,bachelor's degree,occasional smoker (cumulative smoking <10 packs),current regular drinker (more than once a week)
61976,female,20.0,bachelor's degree,never smokes,drinks occasionally (less than once a week)
61977,female,21.0,bachelor's degree,never smokes,drinks occasionally (less than once a week)
61978,male,22.0,bachelor's degree,occasional smoker (cumulative smoking <10 packs),drinks occasionally (less than once a week)
61979,male,19.0,bachelor's degree,never smokes,drinks occasionally (less than once a week)
61980,female,19.0,bachelor's degree,never smokes,never drinks
61981,female,18.0,bachelor's degree,never smokes,never drinks
61982,female,18.0,bachelor's degree,never smokes,never drinks
61983,male,22.0,bachelor's degree,occasional smoker (cumulative smoking <10 packs),drinks occasionally (less than once a week)
61984,female,19.0,bachelor's degree,never smokes,never drinks
61986,male,20.0,bachelor's degree,never smokes,drinks occasionally (less than once a week)
61987,male,18.0,bachelor's degree,never smokes,drinks occasionally (less than once a week)
61988,female,19.0,bachelor's degree,never smokes,never drinks
61989,male,22.0,bachelor's degree,never smokes,never drinks
61990,female,18.0,bachelor's degree,never smokes,never drinks
61991,male,21.0,bachelor's degree,never smokes,never drinks
61992,female,19.0,bachelor's degree,never smokes,never drinks
61993,female,19.0,bachelor's degree,never smokes,never drinks
61994,male,22.0,bachelor's degree,never smokes,drinks occasionally (less than once a week)
61995,female,20.0,bachelor's degree,never smokes,never drinks
61996,female,20.0,bachelor's degree,never smokes,never drinks
61997,female,20.0,bachelor's degree,never smokes,drinks occasionally (less than once a week)
61998,male,18.0,bachelor's degree,never smokes,never drinks
61999,female,20.0,bachelor's degree,never smokes,never drinks
62000,female,19.0,bachelor's degree,never smokes,never drinks
62001,female,20.0,bachelor's degree,never smokes,never drinks
62002,female,21.0,bachelor's degree,never smokes,never drinks
62003,female,21.0,bachelor's degree,never smokes,never drinks
62004,female,21.0,bachelor's degree,never smokes,never drinks
62005,male,19.0,bachelor's degree,never smokes,never drinks
62006,male,22.0,bachelor's degree,never smokes,never drinks
62007,female,21.0,bachelor's degree,never smokes,drinks occasionally (less than once a week)
62008,male,20.0,bachelor's degree,never smokes,never drinks
62009,female,20.0,bachelor's degree,never smokes,never drinks
62010,female,20.0,bachelor's degree,never smokes,never drinks
62011,male,20.0,bachelor's degree,never smokes,never drinks
62012,male,19.0,bachelor's degree,occasional smoker (cumulative smoking <10 packs),drinks occasionally (less than once a week)
62013,female,19.0,bachelor's degree,never smokes,never drinks
62014,female,19.0,bachelor's degree,never smokes,drinks occasionally (less than once a week)
62015,female,18.0,bachelor's degree,never smokes,never drinks
62016,female,20.0,bachelor's degree,never smokes,never drinks
62017,female,20.0,bachelor's degree,never smokes,never drinks
62018,female,18.0,bachelor's degree,never smokes,never drinks
62019,female,19.0,bachelor's degree,never smokes,never drinks
62020,male,21.0,bachelor's degree,never smokes,never drinks
62021,male,19.0,bachelor's degree,never smokes,never drinks
62022,male,18.0,bachelor's degree,never smokes,never drinks
62023,female,21.0,bachelor's degree,never smokes,never drinks
62024,female,21.0,bachelor's degree,never smokes,never drinks
62025,female,19.0,bachelor's degree,never smokes,never drinks
62026,female,19.0,bachelor's degree,never smokes,never drinks
62027,female,21.0,bachelor's degree,never smokes,never drinks
62028,female,19.0,bachelor's degree,never smokes,never drinks
62029,female,18.0,bachelor's degree,never smokes,drinks occasionally (less than once a week)
62030,male,20.0,bachelor's degree,never smokes,never drinks
62031,female,20.0,bachelor's degree,never smokes,never drinks
62032,male,18.0,bachelor's degree,never smokes,never drinks
62033,male,19.0,bachelor's degree,never smokes,drinks occasionally (less than once a week)
62034,female,19.0,bachelor's degree,never smokes,drinks occasionally (less than once a week)
62035,female,20.0,bachelor's degree,never smokes,never drinks
